Source Ip,Dest Ip,Flag,Size,ACK Total, SYN/FIN Total,# of Src Ports,# of Dst Ports,MIN packet size,MAX packet size,AVG packet size,packet amount,INC packets,OUT packets
10.184.237.176,74.125.204.154,1,325,2,1,2,2,265,60,162.5,2,1,1
10.184.237.176,74.125.204.154,1,108,2,1,1,1,54,54,54.0,2,0,2
74.125.204.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,74.125.204.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,13.107.136.9,0,697943,895,2,3,3,1514,54,778.9542410714292,896,504,392
10.184.237.176,74.125.204.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.154,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,13.107.6.171,0,45080,125,6,5,5,1514,54,336.41791044776113,134,73,61
74.125.204.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,74.125.204.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,211.36.85.142,0,1386,0,21,7,1,66,66,66.0,21,0,21
10.184.237.176,108.177.97.188,0,847,14,0,2,2,66,55,60.5,14,7,7
10.184.237.176,74.125.204.154,1,168,3,1,2,2,60,54,56.0,3,1,2
10.184.237.176,198.252.206.25,0,989,15,0,2,2,112,55,65.93333333333334,15,8,7
10.184.237.176,52.108.32.2,0,94333,542,2,3,2,1514,54,173.72559852670355,543,280,263
10.184.237.176,74.125.204.155,1,2286,15,7,3,3,265,54,134.47058823529412,17,5,12
10.184.237.176,74.125.204.155,1,638,4,1,2,1,265,54,159.5,4,0,4
10.184.237.176,74.125.204.155,1,265,1,1,1,1,265,265,265,1,0,1
10.184.237.176,74.125.204.155,1,2385,14,3,4,4,265,54,149.0625,16,4,12
10.184.237.176,173.222.148.43,1,7437,18,3,2,2,1080,54,391.42105263157896,19,9,10
52.114.74.43,10.184.237.176,0,25971,50,4,3,5,1514,54,499.44230769230785,52,31,21
10.184.237.176,104.18.21.226,1,1014,7,3,2,2,389,54,126.75,8,4,4
10.184.237.176,23.49.60.50,1,1156,4,3,2,2,714,54,231.2,5,2,3
10.184.237.176,74.125.204.155,1,108,2,1,1,1,54,54,54.0,2,0,2
74.125.204.155,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,74.125.204.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,23.49.60.50,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,74.125.204.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,74.125.204.155,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,10.128.128.126,1,7862,16,3,2,2,1514,54,462.47058823529414,17,9,8
10.184.237.176,23.49.60.50,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,74.125.204.155,1,114,2,1,2,2,60,54,57.0,2,1,1
