Source Ip,Dest Ip,Flag,Size,ACK Total, SYN/FIN Total,# of Src Ports,# of Dst Ports,MIN packet size,MAX packet size,AVG packet size,packet amount,INC packets,OUT packets
10.184.237.176,52.108.32.2,0,37388,331,0,2,2,590,54,112.95468277945619,331,176,155
13.107.136.9,10.184.237.176,0,185775,209,2,2,3,1514,54,884.6428571428569,210,81,129
10.184.237.176,108.177.97.156,1,325,2,1,2,2,265,60,162.5,2,1,1
10.184.237.176,108.177.97.156,1,108,2,1,1,1,54,54,54.0,2,0,2
108.177.97.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,13.107.6.171,0,30245,93,5,4,4,1514,54,318.36842105263156,95,52,43
10.184.237.176,108.177.97.156,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,23.49.60.185,1,54,1,1,1,1,54,54,54,1,0,1
23.49.60.185,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,23.49.60.185,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,198.252.206.25,0,1101,16,0,2,2,112,55,68.81250000000001,16,8,8
108.177.97.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.97.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.97.188,0,781,13,0,2,2,66,55,60.07692307692308,13,6,7
10.184.237.176,108.177.97.156,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,108.177.97.156,1,501,4,1,3,3,265,55,100.2,5,2,3
10.184.237.176,108.177.125.154,1,2022,11,5,3,3,265,54,155.53846153846155,13,3,10
10.184.237.176,108.177.125.154,1,108,2,1,1,1,54,54,54.0,2,0,2
108.177.125.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.154,1,319,2,1,1,1,265,54,159.5,2,0,2
108.177.125.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.154,1,2059,12,3,4,3,265,54,147.07142857142858,14,3,11
10.184.237.176,108.177.97.156,1,380,3,1,2,2,265,55,126.66666666666667,3,1,2
10.184.237.176,52.230.3.194,0,358,3,0,2,2,178,54,119.33333333333333,3,1,2
13.107.3.128,10.184.237.176,0,60,1,0,1,1,60,60,60,1,0,1
40.121.213.159,10.184.237.176,0,60,1,0,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.154,1,108,2,1,1,1,54,54,54.0,2,0,2
10.184.237.176,52.109.120.19,0,8352,18,2,2,2,1514,54,439.57894736842104,19,9,10
108.177.125.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.154,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,40.77.226.249,0,6051,14,2,2,2,1514,54,403.4,15,6,9
108.177.125.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.154,1,2209,12,3,3,2,265,54,169.92307692307693,13,2,11
10.184.237.176,108.177.97.156,0,170,2,0,2,2,60,55,56.666666666666664,3,1,2
10.184.237.176,108.177.125.154,1,108,2,1,1,1,54,54,54.0,2,0,2
108.177.125.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.154,1,168,3,1,2,2,60,54,56.0,3,1,2
108.177.125.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,211.36.85.142,0,726,0,11,4,1,66,66,66.0,11,0,11
10.184.237.176,108.177.125.154,0,3791,22,8,4,4,265,54,151.64000000000001,25,5,20
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,52.114.74.43,1,186,1,3,3,1,66,54,62.0,3,0,3
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,52.114.74.43,1,54,1,1,1,1,54,54,54,1,0,1
10.184.237.176,52.114.74.43,1,186,1,3,3,1,66,54,62.0,3,0,3
