Source Ip,Dest Ip,Flag,Size,ACK Total, SYN/FIN Total,# of Src Ports,# of Dst Ports,MIN packet size,MAX packet size,AVG packet size,packet amount,INC packets,OUT packets
10.184.237.176,13.107.136.9,0,1802869,2093,0,2,2,1514,54,861.3803153368366,2093,1103,990
52.108.32.2,10.184.237.176,0,742724,3071,2,3,3,1514,54,241.7721354166666,3072,1356,1716
52.114.74.43,10.184.237.176,0,41491,71,4,5,5,1514,54,568.3698630136985,73,41,32
10.184.237.176,108.177.125.154,1,325,2,1,2,2,265,60,162.5,2,1,1
10.184.237.176,13.107.6.171,1,30405,80,8,5,5,1514,54,366.3253012048193,83,42,41
10.184.237.176,108.177.125.154,1,108,2,1,1,1,54,54,54.0,2,0,2
108.177.125.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,108.177.125.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,211.36.85.142,0,858,0,13,5,1,66,66,66.0,13,0,13
10.184.237.176,108.177.125.154,1,319,2,1,1,1,265,54,159.5,2,0,2
108.177.125.154,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,108.177.125.154,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,52.109.124.5,1,41798,55,3,2,2,1514,54,746.3928571428571,56,25,31
10.184.237.176,108.177.125.154,1,168,3,1,2,2,60,54,56.0,3,1,2
52.109.124.5,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,52.109.124.5,1,43570,60,3,3,2,1514,54,714.2622950819672,61,27,34
10.184.237.176,198.252.206.25,0,1289,18,0,2,2,112,55,71.61111111111111,18,8,10
10.184.237.176,108.177.97.188,0,1035,16,0,2,2,87,54,64.6875,16,7,9
10.184.237.176,64.233.188.156,1,1889,12,6,3,3,265,54,134.92857142857142,14,4,10
10.184.237.176,23.2.16.57,0,54,1,0,1,1,54,54,54,1,0,1
10.184.237.176,64.233.188.156,1,114,2,1,2,2,60,54,57.0,2,1,1
10.184.237.176,64.233.188.156,1,108,2,1,2,1,54,54,54.0,2,0,2
64.233.188.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,64.233.188.156,1,319,2,1,1,1,265,54,159.5,2,0,2
64.233.188.156,10.184.237.176,1,60,1,1,1,1,60,60,60,1,0,1
10.184.237.176,64.233.188.156,1,319,2,1,1,1,265,54,159.5,2,0,2
10.184.237.176,64.233.188.156,1,265,1,1,1,1,265,265,265,1,0,1
